,subj_key_resp,subj_key_resp_last,rxn_time,corr_resp,corr_resp_left,running_time,hit,miss,wrong,total_hits,total_wrong,total_skipped,percent_accuracy,avg_rxn_time
164,"[('2', 1.2423811999615282)]",2,1.2423811999615282,2,7,,1,0,0,164,1,0,99.39393939393939,1.0466514175680155
165,"[('1', 0.7489650000352412)]",1,0.7489650000352412,1,6,,1,0,0,165,1,0,99.39759036144578,1.0448581258961314
166,"[('2', 0.7092789000598714)]",2,0.7092789000598714,2,7,,1,0,0,166,1,0,99.40119760479043,1.042848669453998
167,"[('1', 0.6928425000514835)]",1,0.6928425000514835,1,6,,1,0,0,167,1,0,99.4047619047619,1.0407652993980308
168,"[('2', 0.6824297999264672)]",2,0.6824297999264672,2,7,675.7019973999122,1,0,0,168,1,0,99.40828402366864,1.0386449709987906
169,"[('1', 0.625721100019291)]",1,0.625721100019291,1,6,,1,0,0,169,1,0,99.41176470588235,1.0362160070518525
170,"[('1', 0.7595615000464022)]",1,0.7595615000464022,1,6,,1,0,0,170,1,0,99.41520467836257,1.0345981444377854
171,"[('2', 0.7424492000136524)]",2,0.7424492000136524,2,7,,1,0,0,171,1,0,99.4186046511628,1.0328996040632266
172,"[('1', 0.7591103999875486)]",1,0.7591103999875486,1,6,,1,0,0,172,1,0,99.42196531791907,1.031317007507876
173,"[('2', 0.6256047000642866)]",2,0.6256047000642866,2,7,,1,0,0,173,1,0,99.42528735632185,1.0289853275800391
174,"[('2', 0.7922882999991998)]",2,0.7922882999991998,2,7,693.7673025999684,1,0,0,174,1,0,99.42857142857143,1.02763277313672
175,"[('1', 0.7487148001091555)]",1,0.7487148001091555,1,6,,1,0,0,175,1,0,99.43181818181819,1.0260480119263362
176,"[('1', 0.9422779000597075)]",1,0.9422779000597075,1,6,,1,0,0,176,1,0,99.43502824858757,1.0255747344581632
177,"[('2', 0.7590939999790862)]",2,0.7590939999790862,2,7,,1,0,0,177,1,0,99.43820224719101,1.0240776516801908
178,"[('1', 0.8092296000104398)]",1,0.8092296000104398,1,6,,1,0,0,178,1,0,99.44134078212291,1.0228773832351084
179,"[('2', 0.6090313999447972)]",2,0.6090313999447972,2,7,,1,0,0,179,1,0,99.44444444444444,1.0205782388834956
